max_header_bytes,min_header_bytes,mean_header_bytes,median_header_bytes,mode_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,fwd_median_header_bytes,fwd_cov_header_bytes,fwd_mode_header_bytes,fwd_variance_header_bytes,bwd_std_header_bytes,bwd_cov_header_bytes,bwd_variance_header_bytes,fwd_init_win_bytes,bwd_init_win_bytes,rst_flag_counts,bwd_rst_flag_counts,psh_flag_percentage_in_total,rst_flag_percentage_in_total,fwd_psh_flag_percentage_in_total,fwd_syn_flag_percentage_in_total,bwd_psh_flag_percentage_in_total,fwd_psh_flag_percentage_in_fwd_packets,bwd_psh_flag_percentage_in_bwd_packets,bwd_rst_flag_percentage_in_bwd_packets,bwd_packets_IAT_mean,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,bwd_packets_IAT_median,bwd_packets_IAT_mode,handshake_duration,handshake_state,mean_bwd_packets_delta_time,median_bwd_packets_delta_time,skewness_packets_delta_len,mode_fwd_packets_delta_len,label,activity
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-ACK
24,24,24.0,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-ACK-PSH
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-Killer-TCP
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Valid-SYN
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-SYN-ACK
24,24,24.0,24.0,24.0,24,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-IGMP
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-MIX
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-Killall-v2
20,20,20.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-SYN
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Control
20,20,20.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62605,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-SYN-TIME
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-SYN-TFO
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-OSYNP
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-OSYN
20,20,20.0,20.0,20.0,20,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Attack,Attack-TCP-Flag-RST-ACK
40,40,40.0,40.0,40.0,40,40,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29200,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Suspicious,Suspicious
